country,state_province,city_area,area_extra,search_radius_km,business_category,keywords,language,currency,timezone,priority,min_rating,min_reviews,website_required,phone_required,email_required,max_leads,exclude_terms,output_columns,review_quality_filter,toggle_1,toggle_2,toggle_3,toggle_4,toggle_5
USA,New York,New York City,,15,Boxing/Kickboxing Gym,boxing gym; kickboxing; muay thai gym,English,USD,America/New_York,High,4.0,20,Either,Yes,No,60,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Any,Yes,Yes,Yes,Yes,Yes
USA,New York,New York City,,15,CrossFit Gym,crossfit; crossfit box; functional fitness,English,USD,America/New_York,High,4.0,20,Either,Yes,No,60,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Any,Yes,Yes,Yes,Yes,Yes
USA,New York,New York City,,15,Boutique Fitness Studio,spin studio; HIIT studio; bootcamp fitness,English,USD,America/New_York,High,4.0,20,Either,Yes,No,60,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Any,Yes,Yes,Yes,Yes,Yes
USA,New York,New York City,,15,Independent Gym,independent gym; local gym; fitness center,English,USD,America/New_York,Medium,4.0,20,Either,Yes,No,50,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Any,Yes,Yes,Yes,Yes,Yes
USA,New York,New York City,,15,Pilates Studio,pilates studio; reformer pilates,English,USD,America/New_York,Low,4.0,20,Either,Yes,No,30,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Any,Yes,Yes,Yes,Yes,Yes
Australia,New South Wales,Sydney,,20,Boxing/Kickboxing Gym,boxing gym; kickboxing; muay thai gym,English,AUD,Australia/Sydney,High,4.0,20,Either,Yes,No,60,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Any,Yes,No,Yes,Yes,Yes
Australia,New South Wales,Sydney,,20,CrossFit Gym,crossfit; crossfit box; functional fitness,English,AUD,Australia/Sydney,High,4.0,20,Either,Yes,No,60,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Any,Yes,No,Yes,Yes,Yes
Australia,New South Wales,Sydney,,20,Boutique Fitness Studio,spin studio; HIIT studio; bootcamp fitness,English,AUD,Australia/Sydney,High,4.0,20,Either,Yes,No,60,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Any,Yes,No,Yes,Yes,Yes
Australia,New South Wales,Sydney,,20,Independent Gym,independent gym; local gym; fitness center,English,AUD,Australia/Sydney,Medium,4.0,20,Either,Yes,No,50,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Any,Yes,No,Yes,Yes,Yes
Australia,New South Wales,Sydney,,20,Pilates Studio,pilates studio; reformer pilates,English,AUD,Australia/Sydney,Low,4.0,20,Either,Yes,No,30,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Any,Yes,No,Yes,Yes,Yes
UK,England,London,,3,Boxing/Kickboxing Gym,boxing gym; kickboxing; muay thai gym,English,GBP,Europe/London,High,4.2,50,Either,Yes,No,60,Chains; franchises; duplicates; already contacted,Business Name; Category; Address; Phone; Website; Email; Google Maps URL; Rating; Review Count; Social Media URLs,Outdated; average; good; none,Yes,Yes,Yes,Yes,Yes
