category,problem,evidence,why_it_matters,fix,priority
Performance,Mobile page-load performance is poor.,Lighthouse mobile performance score: 18.0/100.,"Slow mobile load times increase bounce rate and lose visitors before they ever see the offer, and factor into Google's mobile ranking.","Optimize images, defer non-critical JS/CSS, and enable caching/compression.",CRITICAL
Automation Opportunity,No AI chatbot or live-chat widget detected.,No known chat/AI widget signature found in the page HTML (detection is limited to static HTML — a widget could still load dynamically).,"Visitors with quick questions, especially after hours, have no immediate way to get answers, which may cost leads to a competitor who responds faster.",Add an AI receptionist / live-chat widget to answer FAQs and qualify leads 24/7.,HIGH
Conversion,No lead-capture form detected.,No <form> with meaningful input fields found on this page.,"Visitors who aren't ready to call have no low-friction way to leave their details, so interested visitors may simply leave.","Add a short contact/quote-request form (name, contact info, message) above the fold.",HIGH
Security,Missing recommended security headers.,"Missing: Content-Security-Policy, X-Frame-Options, Referrer-Policy, Permissions-Policy.","These headers protect visitors from clickjacking, MIME-sniffing, and injection attacks, and are checked by some security-conscious visitors/tools.",Add the missing headers at the web server or CDN level.,HIGH
Technical Health,Broken internal links found.,"7 of 25 checked links are broken. e.g. https://www.thymedentalcare.com/treatments/cosmetic-veneers-indianapolis-indiana -> 404, https://www.thymedentalcare.com/treatments/affordable-dentures-indianapolis-indiana -> 404, https://www.thymedentalcare.com/treatments/suresmile-clear-aligners-indianapolis-indiana -> 404","Broken links frustrate visitors, waste crawl budget, and can pass negative signals to search engines.","Fix or remove the broken links, or add redirects to the correct pages.",HIGH
Automation Opportunity,No WhatsApp click-to-chat link detected.,No wa.me/ or api.whatsapp.com/send link found in the page HTML.,"In many markets, WhatsApp is visitors' preferred contact channel; its absence adds friction versus a competitor with one-tap WhatsApp contact.",Add a WhatsApp click-to-chat button (wa.me link) near the main CTA.,MEDIUM
Conversion,No appointment/booking system detected.,No known booking-widget signature or 'book an appointment' phrasing found.,Requiring visitors to call during business hours to book loses after-hours and phone-averse visitors.,"Add an online booking widget (e.g. Calendly, Acuity, Setmore) to the site.",MEDIUM
Local SEO,No LocalBusiness (or similar) structured data found.,No JSON-LD node with a recognized local-business @type found.,"Structured data helps Google show rich results (hours, ratings, address) directly in search, and powers map/voice-search discovery.","Add JSON-LD LocalBusiness schema with name, address, phone, and hours.",MEDIUM
Performance,Does not use HTTPS,Does not use HTTPS: 1 insecure request found,Contributes to the slower mobile load time flagged above.,See Lighthouse's guidance for this specific audit.,MEDIUM
Performance,First Contentful Paint,First Contentful Paint: 2.5 s,Contributes to the slower mobile load time flagged above.,See Lighthouse's guidance for this specific audit.,MEDIUM
Performance,Largest Contentful Paint,Largest Contentful Paint: 7.6 s,Contributes to the slower mobile load time flagged above.,See Lighthouse's guidance for this specific audit.,MEDIUM
Performance,Total Blocking Time,"Total Blocking Time: 19,200 ms",Contributes to the slower mobile load time flagged above.,See Lighthouse's guidance for this specific audit.,MEDIUM
Performance,Max Potential First Input Delay,"Max Potential First Input Delay: 2,770 ms",Contributes to the slower mobile load time flagged above.,See Lighthouse's guidance for this specific audit.,MEDIUM
SEO,Meta description length is outside the recommended range.,Description is 234 characters.,Descriptions that are too short under-sell the page; too long get truncated.,Rewrite the meta description to roughly 50-160 characters.,LOW
