business_name,website,audit_status,error,health_score,max_health_score,opportunity_score,max_opportunity_score,ssl_valid,has_chatbot,chatbot_providers,has_whatsapp,has_lead_form,has_phone_cta,has_appointment_booking,has_trust_signals,has_local_schema,critical_issue_count,high_issue_count,top_issues,fetch_warning
FNT Boxing Club,https://www.fntboxing.com/,OK,,32.7,65,50.0,100,True,True,Facebook Messenger Plugin,False,True,True,False,False,False,0,1,HIGH: Missing recommended security headers.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: Page is missing a meta description.; MEDIUM: Many images are missing alt text.,
El Dojo NYC,http://www.eldojonyc.com/,OK,,43.1,65,65.0,100,True,True,"Tidio, Facebook Messenger Plugin",False,True,True,False,True,True,0,1,HIGH: Missing recommended security headers.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: Many images are missing alt text.; LOW: Lead-capture form is long.,
Bua Boxing,https://www.buaboxing.com/,OK,,45.6,65,2.5,100,True,False,,False,False,False,False,False,True,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: Mixed content: some resources load over insecure HTTP on an HTTPS page.; MEDIUM: No WhatsApp click-to-chat link detected.,
Brotherhood Boxing,https://brotherhoodboxing.org/,OK,,27.7,65,15.0,100,True,False,,False,True,False,False,False,False,0,2,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; MEDIUM: No XML sitemap found.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.,
Iron Rooster Muay Thai,https://instagram.com/ironroostermuaythai/,OK,,33.1,65,0.0,100,True,False,,False,False,False,False,False,False,0,3,HIGH: SSL certificate is expiring soon.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: Missing recommended security headers.; MEDIUM: No WhatsApp click-to-chat link detected.,
"Tiger Schulmann's Martial Arts (Upper East Side, Manhattan, NY)",http://www.tsk.com/locations/ny/upper-east-side/,OK,,41.4,65,70.0,100,True,True,Facebook Messenger Plugin,False,True,True,False,True,True,0,1,HIGH: Missing recommended security headers.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: Many images are missing alt text.; LOW: Lead-capture form is long.,
Ninja Clint Boxing,https://linktr.ee/NinjaClint,OK,,39.5,65,0.0,100,True,False,,False,False,False,False,False,False,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.,"page HTML contains a known anti-bot/CAPTCHA marker: ""turnstile"". A headless-browser retry did not get past it either — this site likely requires solving a human-facing CAPTCHA/verification step, which this tool does not attempt to bypass. Verify this lead manually in a real browser."
Unlimited Martial Arts NYC,https://unlimitedmartialartsacademy.com/,OK,,39.1,65,32.5,100,True,False,,False,True,True,False,False,True,0,2,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No visible trust signals (testimonials/reviews) detected.,
Kings Combat Fitness,http://www.kingscombatfitness.com/,OK,,23.9,65,22.5,100,True,False,,False,False,True,False,True,False,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.,
Modern Martial Arts - Upper East Side,https://www.mmanewyorkcity.com/locations/upper-eastside,OK,,43.9,65,30.0,100,True,True,Facebook Messenger Plugin,False,False,False,False,False,True,0,2,HIGH: Missing recommended security headers.; HIGH: No lead-capture form detected.; MEDIUM: Mixed content: some resources load over insecure HTTP on an HTTPS page.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.,"page appears to be an interstitial/verification page or renders its content via JavaScript, and the headless-browser re-fetch did not return meaningfully more content — checks below likely show false negatives (missing title/forms/links etc. that a browser would actually see)"
GANG UP Boxing Gym,http://gangupboxing.com/,OK,,45.7,65,7.5,100,True,False,,False,False,False,False,False,True,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.,
BushBox NYC,http://www.bushboxnyc.com/,OK,,45.7,65,2.5,100,True,False,,False,False,False,False,False,True,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.,
H.T.D Boxing Gym - Seaport,https://htdnyc.com/,OK,,47.3,65,17.5,100,True,False,,False,False,True,False,False,True,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.,
GYM X Boxing,http://www.gymxboxing.com/,OK,,23.1,65,15.0,100,False,False,,False,True,False,False,False,False,1,2,"CRITICAL: SSL certificate is missing, invalid, or expired.; HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; MEDIUM: No XML sitemap found.; MEDIUM: No WhatsApp click-to-chat link detected.",
"OMNE Martial Arts, Fitness & Wellness",http://omnemma.com/,OK,,37.1,65,30.0,100,True,False,,False,True,False,False,True,True,0,2,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No clickable phone (tel:) link detected.,
Kings Combat Williamsburg,http://www.kingscombatwillyb.com/,OK,,25.6,65,12.5,100,True,False,,False,False,True,False,False,False,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.,
BOUT Boxing LIC,http://boutboxingusa.com/,OK,,46.0,65,22.5,100,True,False,,False,True,False,False,False,True,0,2,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No clickable phone (tel:) link detected.,
Hinds Combat Midtown West,https://www.hindscombatmidtownwest.com/,OK,,42.8,65,40.0,100,True,True,Facebook Messenger Plugin,False,False,True,False,False,False,0,2,HIGH: Missing recommended security headers.; HIGH: No lead-capture form detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No LocalBusiness (or similar) structured data found.,
Modern Martial Arts - Upper West Side,https://www.mmanewyorkcity.com/upper-west-side,OK,,43.9,65,40.0,100,True,True,Facebook Messenger Plugin,False,False,True,False,False,True,0,2,HIGH: Missing recommended security headers.; HIGH: No lead-capture form detected.; MEDIUM: Mixed content: some resources load over insecure HTTP on an HTTPS page.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.,
Raktan Muay Thai,http://www.raktanmt.com/,OK,,47.6,65,45.0,100,True,False,,False,True,True,False,True,True,0,1,HIGH: No AI chatbot or live-chat widget detected.; MEDIUM: Missing recommended security headers.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; LOW: No canonical tag found.,
"Panda Thai Boxing (Muay Thai, Kickboxing, MMA, Self-Defense)",https://www.pandathaiboxing.com/,OK,,29.2,65,0.0,100,True,False,,False,False,False,False,False,False,0,3,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.,
