input_id,title,business_name,category,phone,website,review_rating,review_count,complete_address,extracted_email,email,google_maps_url,social_media_urls,priority,primary_problem,mistakes_text,audit_status,health_score,opportunity_score,critical_issue_count,high_issue_count,medium_issue_count,low_issue_count,ssl_valid,has_chatbot,has_whatsapp,has_lead_form,has_phone_cta,has_appointment_booking,has_trust_signals,has_local_schema,evidence,confidence,qualification_status,contactability_status,recommended_action,commercial_opportunity_score,secondary_problems,review_reason,passed_quality_gate,outreach_subject,outreach_message,audit_summary,email_verified
5b976f357c561a96,Anytime Fitness Haymarket,Anytime Fitness Haymarket,Gym,+61 423 741 895,https://www.anytimefitness.com.au/gyms/au-1629/haymarket-nsw-2000/,4.6,962.0,"Lower Ground, Floor, 725/731 George St, Haymarket NSW 2000, Australia",,,https://www.google.com/maps/place/Anytime+Fitness+Haymarket/data=!4m7!3m6!1s0x6b12aff5886f097b:0xca5184581a911d14!8m2!3d-33.8811158!4d151.2044888!16s%2Fg%2F11jk_s3wkz!19sChIJewlviPWvEmsRFB2RGliEUco,,HOT,Page is set to noindex,CRITICAL: No mobile viewport meta tag.; CRITICAL: Page is set to noindex.; HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.,OK,11.1,0.0,2.0,4.0,0,0,True,False,False,False,False,False,False,False,"Audit identified critical issues: the page is set to noindex and lacks a mobile viewport meta tag, plus high severity missing security headers, no chatbot, and no lead capture form.",High,QUALIFIED,CONTACTABLE,PHONE_OUTREACH,0.0,"[""No mobile viewport meta tag"", ""Missing recommended security headers"", ""No AI chatbot or live-chat widget detected"", ""No lead-capture form detected""]",,1,Quick idea for Anytime Fitness Haymarket,"Hi there,
I was checking out Anytime Fitness Haymarket and noticed something that may be costing you enquiries.
When someone visits your website outside business hours, there doesn't seem to be an easy way for them to ask a question or enquire right away. A potential member could simply leave and move on.
I build simple website + WhatsApp AI systems that answer questions, capture leads, and follow up automatically — even when your team is offline.
Would you be open to a quick 60-second walkthrough of how this could work for Anytime Fitness Haymarket?","The site scores 11.1/65 health, with two critical issues (no mobile viewport meta tag, page set to noindex) and four high‑severity issues (missing security headers, no chatbot, no lead‑capture form). These problems hinder SEO, mobile experience, and lead generation.",not_checked
b0372b310994d640,Revo Fitness - Pitt St Sydney,Revo Fitness - Pitt St Sydney,Gym,+61 1300 738 638,https://revofitness.com.au/gyms/pitt-st/,4.8,790.0,"Westfield Sydney, Shop 5001/Level 5/188 Pitt St, Sydney NSW 2000, Australia",pittst@revofitness.com.au,,https://www.google.com/maps/place/Revo+Fitness+-+Pitt+St+Sydney/data=!4m7!3m6!1s0x6b12afd7d5c0b603:0xd6d3a2d8c44a3c5c!8m2!3d-33.8703215!4d151.2093327!16s%2Fg%2F11j_c0vgl_!19sChIJA7bA1devEmsRXDxKxNii09Y,,HOT,No lead-capture form detected,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: Mixed content: some resources load over insecure HTTP on an HTTPS page.; MEDIUM: No WhatsApp click-to-chat link detected.,OK,35.5,17.5,0,3.0,2,0,True,False,False,False,True,False,False,False,"The audit identified three HIGH severity issues: missing security headers, no AI chatbot/live‑chat widget, and no lead‑capture form, plus two MEDIUM issues (mixed content and missing WhatsApp link). The most direct revenue blocker is the absence of a lead‑capture form.",Medium,QUALIFIED,CONTACTABLE,EMAIL_OUTREACH,17.5,"[""Missing recommended security headers"", ""No AI chatbot or live-chat widget detected"", ""Mixed content: some resources load over insecure HTTP on an HTTPS page"", ""No WhatsApp click-to-chat link detected""]",,1,Quick idea for Revo Fitness - Pitt St Sydney,"Hi there,
I was checking out Revo Fitness - Pitt St Sydney and noticed something that may be costing you enquiries.
When someone visits your website outside business hours, there doesn't seem to be an easy way for them to ask a question or enquire right away. A potential member could simply leave and move on.
I build simple website + WhatsApp AI systems that answer questions, capture leads, and follow up automatically — even when your team is offline.
Would you be open to a quick 60-second walkthrough of how this could work for Revo Fitness - Pitt St Sydney?","Health score 35.5/65 with three HIGH issues (missing security headers, no chatbot, no lead form) and two MEDIUM issues (mixed content, no WhatsApp link). No critical issues, but the site lacks essential lead capture and trust signals, presenting a clear opportunity for CRO and security improvements.",not_checked
8a6a964f8edf8c47,Anytime Fitness Hyde Park,Anytime Fitness Hyde Park,Gym,+61 413 252 695,https://www.anytimefitness.com/en-au/membership-inquiry,4.2,527.0,"Level 4/227 Elizabeth St, Sydney NSW 2000, Australia",,,https://www.google.com/maps/place/Anytime+Fitness+Hyde+Park/data=!4m7!3m6!1s0x6b12ae3de4a78c6f:0x1b6d0d4bd11377cc!8m2!3d-33.874382!4d151.2093658!16s%2Fg%2F12hmcgp5x!19sChIJb4yn5D2uEmsRzHcT0UsNbRs,,HOT,"Page is set to noindex, preventing search engine indexing",CRITICAL: No mobile viewport meta tag.; CRITICAL: Page is set to noindex.; HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.,OK,13.6,0.0,2.0,4.0,0,0,True,False,False,False,False,False,False,False,Critical issues: No mobile viewport meta tag; Page is set to noindex. High issues: Missing recommended security headers; No AI chatbot or live-chat widget detected; No lead-capture form detected.,High,QUALIFIED,CONTACTABLE,PHONE_OUTREACH,0.0,"[""No mobile viewport meta tag"", ""Missing recommended security headers"", ""No AI chatbot or live-chat widget detected"", ""No lead-capture form detected""]",,1,Quick idea for Anytime Fitness Hyde Park,"Hi there,
I was checking out Anytime Fitness Hyde Park and noticed something that may be costing you enquiries.
When someone visits your website outside business hours, there doesn't seem to be an easy way for them to ask a question or enquire right away. A potential member could simply leave and move on.
I build simple website + WhatsApp AI systems that answer questions, capture leads, and follow up automatically — even when your team is offline.
Would you be open to a quick 60-second walkthrough of how this could work for Anytime Fitness Hyde Park?","The site scores 13.6/65 health, with two critical issues (missing mobile viewport meta tag and noindex tag) and several high‑severity gaps such as missing security headers, no chatbot, and no lead‑capture form.",not_checked
cc6d40dfe1847f16,ONYX Gym & Fitness,ONYX Gym & Fitness,Gym,+61 2 9184 7762,https://onyxgym.com.au/,5.0,515.0,"20 Bowden St, Alexandria NSW 2015, Australia",train@onyxgym.com.au,,https://www.google.com/maps/place/ONYX+Gym+%26+Fitness/data=!4m7!3m6!1s0x6b12b1bf7edb6c39:0x800aa76a019549a9!8m2!3d-33.9043464!4d151.1962127!16s%2Fg%2F11smv6lhvv!19sChIJOWzbfr-xEmsRqUmVAWqnCoA,,HOT,Missing recommended security headers,HIGH: Missing recommended security headers.; MEDIUM: Mixed content: some resources load over insecure HTTP on an HTTPS page.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: Many images are missing alt text.,OK,48.4,55.0,0,1.0,4,0,True,True,False,True,True,False,False,True,Audit shows a HIGH severity issue: Missing recommended security headers.,High,QUALIFIED,CONTACTABLE,EMAIL_OUTREACH,55.0,"[""Mixed content: some resources load over insecure HTTP on an HTTPS page."", ""No WhatsApp click-to-chat link detected."", ""No appointment/booking system detected."", ""Many images are missing alt text.""]",,1,Quick idea for ONYX Gym & Fitness,"Hi there,
I was checking out ONYX Gym & Fitness and noticed something that may be costing you enquiries.
When someone visits your website outside business hours, there doesn't seem to be an easy way for them to ask a question or enquire right away. A potential member could simply leave and move on.
I build simple website + WhatsApp AI systems that answer questions, capture leads, and follow up automatically — even when your team is offline.
Would you be open to a quick 60-second walkthrough of how this could work for ONYX Gym & Fitness?","The site scores 48.4/65 health with one high‑severity issue (missing security headers) and several medium issues including mixed content, lack of WhatsApp chat, no booking system, and missing image alt text. SSL is valid, a chatbot is present, and local schema is implemented, but trust signals and appointment booking are absent.",not_checked
ac5f76901c60c46e,Gold's Gym,Gold's Gym North Sydney,Gym,+61 2 9956 5230,https://goldsgym.com.au/north-sydney/,4.5,443.0,"7-9 West St, North Sydney NSW 2060, Australia",northsydney@goldsgym.com.au,,https://www.google.com/maps/place/Gold%27s+Gym/data=!4m7!3m6!1s0x6b12aeec14f873f3:0x24b82b2c29a3b480!8m2!3d-33.8331069!4d151.2057037!16s%2Fg%2F11dzzmccdv!19sChIJ83P4FOyuEmsRgLSjKSwruCQ,,WARM,Missing recommended security headers,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: Many images are missing alt text.,OK,47.7,30.0,0,2.0,3,0,True,False,False,True,True,False,False,True,The audit identified a HIGH severity issue: Missing recommended security headers.,High,QUALIFIED,CONTACTABLE,EMAIL_OUTREACH,30.0,"[""No AI chatbot or live-chat widget detected"", ""No WhatsApp click-to-chat link detected"", ""No appointment/booking system detected"", ""Many images are missing alt text""]",,1,Quick idea for Gold's Gym North Sydney,"Hi there,
I was checking out Gold's Gym North Sydney and noticed something that may be costing you enquiries.
When someone visits your website outside business hours, there doesn't seem to be an easy way for them to ask a question or enquire right away. A potential member could simply leave and move on.
I build simple website + WhatsApp AI systems that answer questions, capture leads, and follow up automatically — even when your team is offline.
Would you be open to a quick 60-second walkthrough of how this could work for Gold's Gym North Sydney?","Health score 47.7/65 with 2 high, 3 medium issues. Critical issues none, but missing security headers and lack of live‑chat are top concerns. Site has SSL, lead form, phone CTA, and local schema but lacks chatbot, WhatsApp link, booking system, and alt text on many images.",not_checked
3970356e4424646e,Camperdown Fitness,Camperdown Fitness,Gym,+61 2 8594 2900,https://camperdownfitness.trialus.com.au/,4.4,438.0,"63-65 Pyrmont Bridge Rd, Camperdown NSW 2050, Australia",,,https://www.google.com/maps/place/Camperdown+Fitness/data=!4m7!3m6!1s0x6b12b02f5b6219f9:0xb50e14dc99f6f907!8m2!3d-33.885624!4d151.1760975!16s%2Fg%2F1v6wpg_6!19sChIJ-RliWy-wEmsRB_n2mdwUDrU,,HOT,Missing recommended security headers,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No clickable phone (tel:) link detected.,OK,38.3,15.0,0,2.0,3,0,True,False,False,True,False,False,False,False,The audit identified a HIGH severity issue: Missing recommended security headers.,High,QUALIFIED,CONTACTABLE,PHONE_OUTREACH,15.0,"[""No AI chatbot or live-chat widget detected"", ""No WhatsApp click-to-chat link detected"", ""No appointment/booking system detected"", ""No clickable phone (tel:) link detected""]",,1,Quick idea for Camperdown Fitness,"Hi there,
I was checking out Camperdown Fitness and noticed something that may be costing you enquiries.
When someone visits your website outside business hours, there doesn't seem to be an easy way for them to ask a question or enquire right away. A potential member could simply leave and move on.
I build simple website + WhatsApp AI systems that answer questions, capture leads, and follow up automatically — even when your team is offline.
Would you be open to a quick 60-second walkthrough of how this could work for Camperdown Fitness?","Health score 38.3/65 with two high‑severity issues (missing security headers, no live‑chat) and several medium issues. Site has SSL but lacks key trust and engagement features.",not_checked
3e23278884cec684,Virgin Active Pitt Street (MidCity Centre),Virgin Active Pitt Street,Gym,+61 2 8240 6000,https://www.virginactive.com.au/locations/pitt-street,4.1,356.0,"2/197 Pitt Street Mall, Sydney NSW 2000, Australia",pitt@virginactive.com.au,,https://www.google.com/maps/place/Virgin+Active+Pitt+Street+%28MidCity+Centre%29/data=!4m7!3m6!1s0x6b12ae3f963444cb:0xc4c1491b6c14d90!8m2!3d-33.8696076!4d151.2081608!16s%2Fg%2F1tfcnhjx!19sChIJy0Q0lj-uEmsRkE3BtpEUTAw,,HOT,Missing recommended security headers,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: Many images are missing alt text.,OK,29.2,27.5,0,2.0,3,0,True,False,False,True,True,False,False,False,"The audit flagged a HIGH‑severity issue: missing recommended security headers, which leaves the site vulnerable to attacks and can affect SEO trust signals.",Medium,QUALIFIED,CONTACTABLE,EMAIL_OUTREACH,27.5,"[""No AI chatbot or live‑chat widget detected"", ""Many images are missing alt text"", ""No WhatsApp click‑to‑chat link detected"", ""No appointment/booking system detected""]",,1,Quick idea for Virgin Active Pitt Street,"Hi there,
I was checking out Virgin Active Pitt Street and noticed something that may be costing you enquiries.
When someone visits your website outside business hours, there doesn't seem to be an easy way for them to ask a question or enquire right away. A potential member could simply leave and move on.
I build simple website + WhatsApp AI systems that answer questions, capture leads, and follow up automatically — even when your team is offline.
Would you be open to a quick 60-second walkthrough of how this could work for Virgin Active Pitt Street?","Health score: 29.2/65. Opportunity score: 27.5/100. Critical issues: 0. High issues: 2 (missing security headers, no AI chatbot). Medium issues: 3 (missing alt text, no WhatsApp link, no booking system). SSL is valid, lead form and phone CTA present, but trust signals and local schema are absent.",not_checked
ce84042fcf3f190f,World Gym Moore Park,World Gym Moore Park,Gym,+61 2 8360 4681,https://www.worldgym.com.au/gyms/moore-park,4.4,305.0,"The Entertainment Quarter, 2205a/122 Lang Rd, Moore Park NSW 2021, Australia",cate@moorepark.worldgym.com.au,,https://www.google.com/maps/place/World+Gym+Moore+Park/data=!4m7!3m6!1s0x6b12b149a5e465c1:0x57f0d36b645119c9!8m2!3d-33.8941357!4d151.2256124!16s%2Fg%2F11sk0y3bv0!19sChIJwWXkpUmxEmsRyRlRZGvT8Fc,,HOT,Missing recommended security headers,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.,OK,25.2,22.5,0,3.0,2,0,True,False,False,False,True,False,True,False,"Audit identified high severity issues: missing recommended security headers, no AI chatbot or live-chat widget, and no lead-capture form.",High,QUALIFIED,CONTACTABLE,EMAIL_OUTREACH,22.5,"[""No AI chatbot or live-chat widget detected"", ""No lead-capture form detected"", ""No WhatsApp click-to-chat link detected"", ""No appointment/booking system detected""]",,1,Quick idea for World Gym Moore Park,"Hi there,
I was checking out World Gym Moore Park and noticed something that may be costing you enquiries.
When someone visits your website outside business hours, there doesn't seem to be an easy way for them to ask a question or enquire right away. A potential member could simply leave and move on.
I build simple website + WhatsApp AI systems that answer questions, capture leads, and follow up automatically — even when your team is offline.
Would you be open to a quick 60-second walkthrough of how this could work for World Gym Moore Park?","Health score is 25.2/65 with three high‑severity issues (missing security headers, no chatbot/live‑chat, no lead form) and two medium issues (no WhatsApp link, no booking system). SSL is valid and phone CTA is present, but key conversion and security elements are lacking.",not_checked
75fa3c8f6a386480,Hardcore Gym,Hardcore Gym,Gym,+61 2 9567 0900,http://www.hardcoregym.com.au/,4.9,292.0,"290 Railway Parade, Carlton NSW 2218, Australia",info@hardcoregym.com.au,,https://www.google.com/maps/place/Hardcore+Gym/data=!4m7!3m6!1s0x6b12b0ab56f2db9d:0xd5b0866a57e0b92a!8m2!3d-33.9685668!4d151.1253509!16s%2Fg%2F1tf7gt_c!19sChIJndvyVquwEmsRKrngV2qGsNU,,HOT,Missing recommended security headers,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.; MEDIUM: No clickable phone (tel:) link detected.,OK,46.0,25.0,0,2.0,3,0,True,False,False,True,False,False,False,True,"The audit reports a HIGH severity issue: missing recommended security headers, and also flags the absence of a live‑chat widget, WhatsApp link, appointment booking, and tel: phone link.",High,QUALIFIED,CONTACTABLE,EMAIL_OUTREACH,25.0,"[""No AI chatbot or live‑chat widget detected"", ""No WhatsApp click‑to‑chat link detected"", ""No appointment/booking system detected"", ""No clickable phone (tel:) link detected""]",,1,Quick idea for Hardcore Gym,"Hi there,
I was checking out Hardcore Gym and noticed something that may be costing you enquiries.
When someone visits your website outside business hours, there doesn't seem to be an easy way for them to ask a question or enquire right away. A potential member could simply leave and move on.
I build simple website + WhatsApp AI systems that answer questions, capture leads, and follow up automatically — even when your team is offline.
Would you be open to a quick 60-second walkthrough of how this could work for Hardcore Gym?","Health score 46/65 with 2 high‑severity issues (missing security headers, no live‑chat) and several medium issues (WhatsApp, booking, tel link). SSL is valid and local schema present, but trust signals and lead capture tools are lacking.",not_checked
c8c5879e564de4d6,Lockeroom Gym Personal Trainers Bridge Street,Lockeroom Gym Personal Trainers Bridge Street,Personal trainer,+61 482 074 373,https://lockeroomgym.com/,5.0,256.0,"38-42 Bridge St, Sydney NSW 2000, Australia",,,https://www.google.com/maps/place/Lockeroom+Gym+Personal+Trainers+Bridge+Street/data=!4m7!3m6!1s0x6b12af64a6f1c477:0x1fe9cf357ff6be67!8m2!3d-33.8633763!4d151.2106531!16s%2Fg%2F11lm3k1cxv!19sChIJd8TxpmSvEmsRZ772fzXP6R8,,HOT,No lead-capture form detected,HIGH: Missing recommended security headers.; HIGH: No AI chatbot or live-chat widget detected.; HIGH: No lead-capture form detected.; MEDIUM: No WhatsApp click-to-chat link detected.; MEDIUM: No appointment/booking system detected.,OK,35.6,10.0,0,3.0,2,0,True,False,False,False,False,False,True,False,"Audit identified a high‑severity issue: no lead‑capture form on the site, plus missing security headers, lack of live‑chat, no WhatsApp link, and no booking system.",High,QUALIFIED,CONTACTABLE,PHONE_OUTREACH,10.0,"[""Missing recommended security headers"", ""No AI chatbot or live-chat widget detected"", ""No WhatsApp click-to-chat link detected"", ""No appointment/booking system detected""]",,1,Quick idea for Lockeroom Gym Personal Trainers Bridge Street,"Hi there,
I was checking out Lockeroom Gym Personal Trainers Bridge Street and noticed something that may be costing you enquiries.
When someone visits your website outside business hours, there doesn't seem to be an easy way for them to ask a question or enquire right away. A potential member could simply leave and move on.
I build simple website + WhatsApp AI systems that answer questions, capture leads, and follow up automatically — even when your team is offline.
Would you be open to a quick 60-second walkthrough of how this could work for Lockeroom Gym Personal Trainers Bridge Street?","Health score 35.6/65 with three high‑severity issues (missing security headers, no lead‑capture form, no live‑chat) and two medium issues (no WhatsApp link, no booking system). Trust signals are present, but key conversion tools are absent, indicating immediate CRO opportunities.",not_checked
